linkId,roadName,speed_kmh,congestion_level,observed_at
2950120800,서천로75번길,25,,20251029111500
2950120900,군청안길,23,,20251029111500
2950121000,서천로75번길,16,,20251029111500
2950121100,서천로75번길,32,,20251029111500
2950121200,서천로,31,,20251029111500
2950121300,서천로,34,,20251029111500
2950121400,사곡로,49,,20251029111500
2950121500,사곡로,20,,20251029111500
2950121600,사곡로75번길,25,,20251029111500
2950121700,사곡로75번길,26,,20251029111500
2950122000,충절로,40,,20251029111500
2950122100,충절로,41,,20251029111500
2950122200,서천로,25,,20251029111500
2950122300,서천로,23.5,,20251029111500
2950122400,사곡로99번길,9,,20251029111500
2950122500,군청안길,44,,20251029111500
2950122600,군청안길,27,,20251029111500
2950122700,사곡로99번길,13,,20251029111500
2950123001,대백제로,76.5,,20251029111500
2950123002,대백제로,81,,20251029111500
2950123101,대백제로,79,,20251029111500
2950123102,대백제로,78.7,,20251029111500
2950123200,서천로,30.5,,20251029111500
2950123300,충절로109번길,22,,20251029111500
2950123400,군사길,15,,20251029111500
2950123500,서천로,24,,20251029111500
2950123600,군사길,21,,20251029111500
2950123700,충절로109번길,32,,20251029111500
2950123800,충절로,40,,20251029111500
2950123900,충절로,36,,20251029111500
2950124000,군청로31번길,34,,20251029111500
2950124100,서천로,29,,20251029111500
2950124200,군청로31번길,32,,20251029111500
2950124300,서천로,30,,20251029111500
2950124400,서천로,28.5,,20251029111500
2950124500,서천로,24,,20251029111500
2950124600,충절로121번길,14,,20251029111500
2950124700,군사안길,23,,20251029111500
2950124800,군사안길,27,,20251029111500
2950124900,충절로121번길,20,,20251029111500
2950125000,충절로121번길,23,,20251029111500
2950125100,군사길,21,,20251029111500
2950125200,군사길,26,,20251029111500
2950125300,충절로121번길,13,,20251029111500
2950125400,충절로,40,,20251029111500
2950125500,충절로,39,,20251029111500
2950125600,충절로121번길,38,,20251029111500
2950125700,충절로121번길,46,,20251029111500
2950125800,서천로,30.5,,20251029111500
2950125900,서천로,29.5,,20251029111500
2950126000,충절로133번길,33,,20251029111500
2950126100,충절로133번길,33,,20251029111500
2950126200,충절로133번길,29,,20251029111500
2950126300,충절로133번길,31,,20251029111500
2950126400,사곡로,31,,20251029111500
2950126500,사곡로,41,,20251029111500
2950126600,충절로,31,,20251029111500
2950126700,충절로,34,,20251029111500
2950126800,서천로,32,,20251029111500
2950126900,서천로,31,,20251029111500
2950127000,군사길,22,,20251029111500
2950127100,군사길,21,,20251029111500
2950127200,장서로,45.5,,20251029111500
2950127300,장서로,53,,20251029111500
2950127400,장서로,44,,20251029111500
2950127500,장서로,46.5,,20251029111500
2950127600,장서로,35,,20251029111500
2950127700,장서로,36,,20251029111500
2950127800,대백제로,73.3,,20251029111500
2950127900,대백제로,77,,20251029111500
2950128000,화한로,55,,20251029111500
2950128100,화한로,45,,20251029111500
2950128200,충절로,53.5,,20251029111500
2950128300,충절로,55,,20251029111500
2950128400,충절로,54,,20251029111500
2950128500,충절로,54.5,,20251029111500
2950128600,화산로,59,,20251029111500
2950128700,화산로,63,,20251029111500
2950129000,충절로,49,,20251029111500
2950129100,충절로,50,,20251029111500
2950129200,삼산북길,39,,20251029111500
2950129300,삼산북길,34,,20251029111500
2950129400,충절로,65,,20251029111500
2950129500,충절로,46.5,,20251029111500
2950129600,화산로,54,,20251029111500
2950129700,화산로,55,,20251029111500
2950129800,화산로,54,,20251029111500
2950129900,화산로,63,,20251029111500
2950130000,기산길,36,,20251029111500
2950130100,기산길,33,,20251029111500
2950130200,기산길,29,,20251029111500
2950130300,기산길,34,,20251029111500
2950130400,화출길,31,,20251029111500
2950130500,화출길,31,,20251029111500
2950130600,신막로,45,,20251029111500
2950130700,신막로,50,,20251029111500
2950130800,서원로,62,,20251029111500
2950130900,서원로,51,,20251029111500
2950131000,서원로172번길,45,,20251029111500
2950131100,서원로172번길,46,,20251029111500
2950131400,충절로1174번길,22,,20251029111500
2950131500,충절로1174번길,32,,20251029111500
2950131600,충절로1173번길,30,,20251029111500
2950131700,충절로1173번길,22,,20251029111500
2950137800,갈숲길,50,,20251029111500
2950137900,갈숲길,48,,20251029111500
2950138000,갈숲길,50,,20251029111500
2950138100,갈숲길,30,,20251029111500
2950138200,화한로,47,,20251029111500
2950138300,화한로,50,,20251029111500
2950138400,화한로,43,,20251029111500
2950138500,화한로,51,,20251029111500
2950138600,죽산길,46,,20251029111500
2950138700,죽산길,57,,20251029111500
2950138800,활산로,52,,20251029111500
2950138900,활산로,38,,20251029111500
2950139000,서천역길,41,,20251029111500
2950139100,서천역길,44,,20251029111500
2950139300,서천역길,30,,20251029111500
2950139400,화금동길17번길,37,,20251029111500
2950139500,화금동길17번길,30,,20251029111500
2950139600,화산로,41,,20251029111500
2950139700,화산로,46,,20251029111500
2950139800,화산로,38,,20251029111500
2950139900,화산로,53,,20251029111500
2950140000,화산로,63,,20251029111500
2950140100,화산로,69,,20251029111500
2950140200,기산길,44,,20251029111500
2950140300,기산길,41,,20251029111500
2950140400,서원로,52,,20251029111500
2950140500,서원로,45,,20251029111500
2950140600,건지산길,43,,20251029111500
2950140700,건지산길,35,,20251029111500
2950143000,화산로,40,,20251029111500
2950143100,화산로,57,,20251029111500
2950143800,선암길132번길,46,,20251029111500
2950143900,선암길132번길,42,,20251029111500
2950145200,화석로,56,,20251029111500
2950145300,화석로,50,,20251029111500
2950147000,화산로,74,,20251029111500
2950147100,화산로,70,,20251029111500
2950150400,갯벌체험로,45,,20251029111500
2950150500,갯벌체험로,56,,20251029111500
2950150600,장천로,46,,20251029111500
2950150700,장천로,55,,20251029111500
2950150800,송신로,51,,20251029111500
2950150900,송신로,59,,20251029111500
2950151000,송신로,36,,20251029111500
2950151100,송신로,39,,20251029111500
2950151200,송신로,42,,20251029111500
2950151300,송신로,43,,20251029111500
2950151400,송신로,29,,20251029111500
2950151500,송신로,24,,20251029111500
2950151600,마서로,43,,20251029111500
2950151700,마서로,47,,20251029111500
